Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
YMT-NS-0636-23079;26.07.2020;NA;-4.1.3.11.103;1-11-0A1042;0055-4.1.3.11.103-TM.IS-0009;B(a)-I;F1.1;219.1x12.7+219.1x12.7;942C;гoдeнapгopтe;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134490.pdf;К16.pdf;000312
PT 039-1281;06.10.2019;P1Y18399;4.1.3.11.103;1-11-0A1042;0055-4.1.3.11.103-TM.IS-0009;B(a)-I;S1.14;219.1x127+21951x12.7;9F4E;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134494.pdf;К16.pdf;000316
PT 040-658;28.09.2019;P1Y18404;4.1.3.11.103;1-11-0A1044;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;S1.5;219.1x12.7+219.1x12.7;9MH485L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134508.pdf;К16.pdf;000330
YMT-A-0444 PT 3986;04.04.2020;P1Y18406;4.1.3.11.103;1-11-0A1044;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;F1.15;219.1x12.7+219.1x12.7;8H36;гoдeн/appropriate;"Haиmeнoвaниe лaбopaтopии / Naтe of the Laboratory. OООО ""Альфа"" / LLC ""Аf""";Заключение ПВК_10_134511.pdf;К16.pdf;000333
PT 040-596;27.09.2019;P1Y18407;4.1.3.11.103;1-11-0A1044;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;S1.17;219.1x12.7+219.1x12.7;95K287TC;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134512.pdf;К16.pdf;000334
YMT-A-0166 PT 12293;08.02.2020;P1Y18407;4.1.3.11.103;1-11-0A104-4;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;S1.18;219.1x12.7+219.1x12.7;95K2;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134515.pdf;К16.pdf;000337
TT1711-67681;25.12.2019;P1Y18407;4.1.3.11.103;1-11-0A1044;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;F1.19;219.1x12.7+219.1x12.7;942C;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134517.pdf;К16.pdf;000339
PT 068-2382;23.10.2019;P1Y18408;4.1.3.11.103;1-11-0A1044;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;S1.20;219.1x12.7+219.1x12.7;6ZFM85L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134518.pdf;К16.pdf;000340
PT 068-2381;23.10.2019;P1Y18408;4.1.3.11.103;1-11-0A1044;0055-4.1.3.11.103-TM.IS-0012;B(a)-I;S1.22;219.1x12.7+219.1x12.7;6ZFM85L0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134522.pdf;К16.pdf;000344
TT1711-67678;20.12.2019;P1Y18410;4.1.3.11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;F1.1;219.1x12.7+219.1x12.7;8M5B;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134537.pdf;К16.pdf;000359
TT1711-67689;30.10.2019;P1Y18410;4.1.3.11.103;1-11-0A1046;0055-4.1.3.11.103-TM.IS-0015;B(a)-I;S1.2;219.1x12.7+219.1x12.7;84SZ;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134538.pdf;К16.pdf;000360
